Otro.12,count
,371
NO ME LLEGA LA FACTURA,2
SOLICITAR COPIA DE LA FACTURA11,2
NO ME LLEGA LA FACTURA NI FISICA NI AL CORREO,2
VENGO A SOLICITAR CAMBIO DE TITULAR,2
VENGO A SOLICITAR INFORMACION DEL PAGO DE LA FACTURA,2
VENGO A SOLICITAR INFORMACION ACERCA DEL PAGO DE MI FACTURA,2
Cuando voy a pagar mi factura me aparece que esta pagada pero me llego una carta donde se me hace un cobro $ 1925490 no se de que es ese cobro,1
El cobro de un producto que no adquiri,1
Solicitar copia de las facturas,1
SOLICITO COPIA DE LA FACTURA,1
Sudsidio de Apt desocupado.,1
Arreglar el cobro de mis servicios adicionales,1
No llega la factura y no llega el numero del cliente.,1
Solicito informacion de la financiacion del pago del servicio,1
Me botan el recibo por encima de la reja y no en el Buzon el recibo de ENEL se pierde no lo pago y me suspenden el servicio,1
HICIMOS UN ACUERDO DE PAGO NOS ATRASAMOS EN UNA CUOTA Y NOS VOLVIO A SUBIR LA DEUDA EL DIA DE HOY QUEREMOS LLEGAR A UNA NUEVA CONCILIACION PARA QUEDAR AL DIA CON EL SERVICIO,1
SOLICITAR INFORMACION EN QUE ESTADO VA MI PQR,1
SOLICITAR UNA FINANCIACION PARA QUEDAR AL DIA CON LA DEUDA TOTAL,1
EL MEDIDOR NO ESTA SIRVIENDO Y COBRAN POR COBRAR SOLICITO UNA VISITA CON URGENCIA,1
NO ESTOY DEACUERDO CON EL VALOR FACTURADO Y EL CAMBIO QUE ME APARECE EN EL RECIBO,1
Un cobro exagerado,1
Factura no llego y realizaron corte sin aviso,1
REALIZAR LA FINANCIACION DEL RECIBO,1
CAMBIO DE NOMBRE EN LOS RECIBOS,1
SOLICITO RADICAR UNA PETICION PORQUE EL ANTIGUO DUENO DEL LOCAL ME DEJO UNA DEUDA PENDIENTE QUE ME LA ESTAN COBRANDO A MI,1
SOLICITAR EL CHIP PARA PODER SACAR EL IMPUESTO PREDIAL,1
LE HICIERON SUPLANTACION DE DOCUMENTO Y TIENE DEUDAS A SU NOMBRE,1
COPIA DEL PAGO DE LA FINANCIACION,1
SOLICITO INFORMACION EN QUE ESTADO SE ENCUENTRA MI PQR,1
